account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth
1134370155,38609155,Team0,7,4,4,11,3,31403
1176357514,38609155,Team1,25,4,8,5,3,29399
117629808,38609155,Team1,20,2,5,7,6,36398
140963657,38609155,Team1,11,3,5,7,2,26493
920952216,38609155,Team0,13,6,5,14,2,33705
165560339,38609155,Team0,8,3,5,15,9,29360
123933607,38609155,Team1,52,3,10,3,4,30418
1855172408,38609325,Team0,10,10,2,19,3,37895
284870226,38609325,Team1,35,2,6,4,6,25634
1863208191,38609325,Team0,1,8,3,13,0,32425
32639412,38609325,Team1,11,2,8,3,1,20347
1742073423,38609325,Team0,3,10,3,16,6,29625
224860494,38609325,Team1,14,3,8,4,0,20697
1288817918,38609325,Team0,19,4,0,15,2,30079
151508316,38609325,Team0,15,7,2,15,3,28885
204891631,38609325,Team1,60,2,5,3,4,24005
1395432137,38609325,Team0,12,5,5,23,0,29745
246214695,38609325,Team1,27,5,10,4,2,23956
131614199,38609325,Team1,25,1,7,1,1,20543
301594065,38609386,Team1,4,6,7,7,0,30060
872763885,38609386,Team1,18,7,3,4,2,28380
110088215,38609386,Team1,1,7,6,14,3,34137
1855051316,38609386,Team1,50,8,11,7,1,24550
157085743,38609386,Team0,19,3,4,8,1,29828
284349366,38609386,Team1,31,7,3,13,3,30384
1277112179,38609386,Team0,2,5,4,15,4,39623
104197251,38609386,Team0,16,10,7,19,5,33206
1063199987,38609386,Team0,25,5,7,12,1,35880
1300082578,38609386,Team0,13,9,6,11,2,33736
121317057,38609386,Team1,8,2,8,7,5,24856
1521580544,38609386,Team0,15,6,9,11,2,31791
187709046,38609871,Team0,11,7,8,15,1,38056
1132179639,38609871,Team1,12,7,10,11,1,43668
236599146,38609871,Team1,4,4,13,8,2,37732
154191414,38609871,Team0,16,12,9,13,3,38956
384653741,38609871,Team0,10,7,7,17,3,40698
1731846884,38609871,Team1,58,7,7,9,3,42080
334340951,38609871,Team0,2,5,7,17,5,39112
1419449444,38609871,Team1,31,7,8,7,9,35128
232290141,38609871,Team0,20,10,5,12,8,45732
1591197043,38609871,Team0,25,14,4,11,2,59902
386594433,38609871,Team1,13,6,10,8,1,35029
1113450763,38609871,Team1,1,9,7,11,1,41318
117629808,38610024,Team1,20,5,5,9,7,46750
131903282,38610024,Team1,25,2,7,5,2,36660
281367264,38610024,Team1,8,4,12,5,6,33019
1288817918,38610024,Team1,19,9,6,6,1,38246
1176357514,38610024,Team1,3,7,9,8,4,35674
196444468,38610024,Team1,58,4,3,7,2,41793
123933607,38610024,Team0,52,14,3,11,3,53659
78254031,38610024,Team0,18,2,7,15,0,38053
1745708053,38610024,Team0,27,17,4,17,2,60261
